GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProgettoIS,controller.admin,ServletUpdateProdotto,8,52,0,0,3,16,1,3,1,3
ProgettoIS,controller.admin,ServletInsertProdotto,18,105,0,0,5,27,1,3,1,3
ProgettoIS,controller.admin,ServletUpdateProdottoAdmin,8,31,0,0,3,9,1,2,1,2
ProgettoIS,controller.admin,ServletDeleteProdottoAdmin,8,28,0,0,3,10,1,3,1,3
ProgettoIS,controller.admin,ServletAdmin,28,123,1,3,7,35,2,6,1,4
ProgettoIS,controller.catalogo,ServletSchedaProdotto,8,34,0,0,3,11,1,3,1,3
ProgettoIS,controller.catalogo,ServletListaProdotti,8,61,0,2,3,18,1,4,1,3
ProgettoIS,controller.catalogo,ServletListaMarchi,8,58,0,2,3,17,1,4,1,3
ProgettoIS,controller.catalogo,ServletFilter,8,45,0,0,3,12,1,2,1,2
ProgettoIS,controller.catalogo,ServletSchedaProdottoSearch,8,28,0,0,3,9,1,2,1,2
ProgettoIS,controller.carrello,ServletAggiungiAlCarrello,46,125,2,6,11,31,3,5,1,3
ProgettoIS,controller.carrello,ServletRimuoviDalCarrello2,28,112,1,3,7,28,2,4,1,3
ProgettoIS,controller.utente,ServletPreferiti,13,50,1,3,4,17,2,4,1,3
ProgettoIS,controller.utente,ServletUpdateIndirizzo,13,75,0,2,4,20,1,4,1,3
ProgettoIS,controller.utente,ServletInvioMessaggio,18,123,1,1,5,33,2,3,1,3
ProgettoIS,controller.utente,ServletMostraPref,13,48,1,3,4,15,2,4,1,3
ProgettoIS,controller.utente,ServletRimuoviPreferito,8,49,1,3,3,16,2,4,1,3
ProgettoIS,controller.utente,ServletIscrizione,16,104,1,5,5,33,2,4,1,2
ProgettoIS,controller.utente,ServletOrdini,13,77,1,5,4,23,2,4,1,2
ProgettoIS,controller.utente,ServletUpdateUtente,8,49,0,0,3,13,1,2,1,2
ProgettoIS,controller.utente,ServletMostraOrdini,8,32,0,0,3,10,1,2,1,2
ProgettoIS,controller.utente,ServletAccessoUtente,18,147,4,9,5,36,5,7,1,4
ProgettoIS,controller.utente,ServletAssistenza,0,12,0,0,0,4,0,2,0,2
